county,office,district,party,candidate,votes
Beaverhead,President,,DEM,Joe Biden,1608
Big Horn,President,,DEM,Joe Biden,2491
Blaine,President,,DEM,Joe Biden,1589
Broadwater,President,,DEM,Joe Biden,835
Carbon,President,,DEM,Joe Biden,2421
Carter,President,,DEM,Joe Biden,74
Cascade,President,,DEM,Joe Biden,15456
Chouteau,President,,DEM,Joe Biden,991
Custer,President,,DEM,Joe Biden,1514
Daniels,President,,DEM,Joe Biden,195
Dawson,President,,DEM,Joe Biden,962
Deer Lodge,President,,DEM,Joe Biden,2562
Fallon,President,,DEM,Joe Biden,172
Fergus,President,,DEM,Joe Biden,1496
Flathead,President,,DEM,Joe Biden,20274
Gallatin,President,,DEM,Joe Biden,37044
Garfield,President,,DEM,Joe Biden,41
Glacier,President,,DEM,Joe Biden,3610
Golden Valley,President,,DEM,Joe Biden,78
Granite,President,,DEM,Joe Biden,638
Hill,President,,DEM,Joe Biden,2981
Jefferson,President,,DEM,Joe Biden,2625
Judith Basin,President,,DEM,Joe Biden,275
Lake,President,,DEM,Joe Biden,6916
Lewis & Clark,President,,DEM,Joe Biden,19743
Liberty,President,,DEM,Joe Biden,249
Lincoln,President,,DEM,Joe Biden,2835
Madison,President,,DEM,Joe Biden,1771
McCone,President,,DEM,Joe Biden,155
Meagher,President,,DEM,Joe Biden,258
Mineral,President,,DEM,Joe Biden,686
Missoula,President,,DEM,Joe Biden,43357
Musselshell,President,,DEM,Joe Biden,413
Park,President,,DEM,Joe Biden,5280
Petroleum,President,,DEM,Joe Biden,39
Phillips,President,,DEM,Joe Biden,416
Pondera,President,,DEM,Joe Biden,903
Powder River,President,,DEM,Joe Biden,154
Powell,President,,DEM,Joe Biden,752
Prairie,President,,DEM,Joe Biden,126
Ravalli,President,,DEM,Joe Biden,8763
Richland,President,,DEM,Joe Biden,875
Roosevelt,President,,DEM,Joe Biden,1910
Rosebud,President,,DEM,Joe Biden,1199
Sanders,President,,DEM,Joe Biden,1820
Sheridan,President,,DEM,Joe Biden,574
Silver Bow,President,,DEM,Joe Biden,10392
Stillwater,President,,DEM,Joe Biden,1156
Sweet Grass,President,,DEM,Joe Biden,549
Teton,President,,DEM,Joe Biden,1007
