county,precinct,office,district,party,votes,candidate,HouseDistrict,SenateDistrict
Beaverhead,PRECINCT 01,U.S. Senate,,REP,159,MATT ROSENDALE,House District 72,Senate District 36
Beaverhead,PRECINCT 02,U.S. Senate,,REP,452,MATT ROSENDALE,House District 72,Senate District 36
Beaverhead,PRECINCT 03,U.S. Senate,,REP,471,MATT ROSENDALE,House District 72,Senate District 36
Beaverhead,PRECINCT 04,U.S. Senate,,REP,109,MATT ROSENDALE,House District 72,Senate District 36
Beaverhead,PRECINCT 05,U.S. Senate,,REP,104,MATT ROSENDALE,House District 72,Senate District 36
Beaverhead,PRECINCT 06,U.S. Senate,,REP,239,MATT ROSENDALE,House District 72,Senate District 36
Beaverhead,PRECINCT 07,U.S. Senate,,REP,207,MATT ROSENDALE,House District 72,Senate District 36
Beaverhead,PRECINCT 08,U.S. Senate,,REP,53,MATT ROSENDALE,House District 72,Senate District 36
Beaverhead,PRECINCT 09,U.S. Senate,,REP,264,MATT ROSENDALE,House District 72,Senate District 36
Beaverhead,PRECINCT 12,U.S. Senate,,REP,249,MATT ROSENDALE,House District 72,Senate District 36
Beaverhead,PRECINCT 14,U.S. Senate,,REP,150,MATT ROSENDALE,House District 72,Senate District 36
Beaverhead,PRECINCT 17,U.S. Senate,,REP,78,MATT ROSENDALE,House District 72,Senate District 36
Beaverhead,PRECINCT 19,U.S. Senate,,REP,81,MATT ROSENDALE,House District 72,Senate District 36
Beaverhead,PRECINCT 20,U.S. Senate,,REP,72,MATT ROSENDALE,House District 72,Senate District 36
Beaverhead,PRECINCT 21,U.S. Senate,,REP,96,MATT ROSENDALE,House District 72,Senate District 36
Beaverhead,PRECINCT 23,U.S. Senate,,REP,82,MATT ROSENDALE,House District 72,Senate District 36
Beaverhead,PRECINCT 01,U.S. Senate,,DEM,251,JON TESTER,House District 72,Senate District 36
Beaverhead,PRECINCT 02,U.S. Senate,,DEM,233,JON TESTER,House District 72,Senate District 36
Beaverhead,PRECINCT 03,U.S. Senate,,DEM,246,JON TESTER,House District 72,Senate District 36
Beaverhead,PRECINCT 04,U.S. Senate,,DEM,50,JON TESTER,House District 72,Senate District 36
Beaverhead,PRECINCT 05,U.S. Senate,,DEM,28,JON TESTER,House District 72,Senate District 36
Beaverhead,PRECINCT 06,U.S. Senate,,DEM,226,JON TESTER,House District 72,Senate District 36
Beaverhead,PRECINCT 07,U.S. Senate,,DEM,78,JON TESTER,House District 72,Senate District 36
Beaverhead,PRECINCT 08,U.S. Senate,,DEM,14,JON TESTER,House District 72,Senate District 36
Beaverhead,PRECINCT 09,U.S. Senate,,DEM,158,JON TESTER,House District 72,Senate District 36
Beaverhead,PRECINCT 12,U.S. Senate,,DEM,235,JON TESTER,House District 72,Senate District 36
Beaverhead,PRECINCT 14,U.S. Senate,,DEM,189,JON TESTER,House District 72,Senate District 36
Beaverhead,PRECINCT 17,U.S. Senate,,DEM,29,JON TESTER,House District 72,Senate District 36
Beaverhead,PRECINCT 19,U.S. Senate,,DEM,31,JON TESTER,House District 72,Senate District 36
Beaverhead,PRECINCT 20,U.S. Senate,,DEM,12,JON TESTER,House District 72,Senate District 36
Beaverhead,PRECINCT 21,U.S. Senate,,DEM,54,JON TESTER,House District 72,Senate District 36
Beaverhead,PRECINCT 23,U.S. Senate,,DEM,42,JON TESTER,House District 72,Senate District 36
Beaverhead,PRECINCT 01,U.S. Senate,,LIB,12,RICK BRECKENRIDGE,House District 72,Senate District 36
Beaverhead,PRECINCT 02,U.S. Senate,,LIB,28,RICK BRECKENRIDGE,House District 72,Senate District 36
Beaverhead,PRECINCT 03,U.S. Senate,,LIB,22,RICK BRECKENRIDGE,House District 72,Senate District 36
Beaverhead,PRECINCT 04,U.S. Senate,,LIB,9,RICK BRECKENRIDGE,House District 72,Senate District 36
Beaverhead,PRECINCT 05,U.S. Senate,,LIB,1,RICK BRECKENRIDGE,House District 72,Senate District 36
Beaverhead,PRECINCT 06,U.S. Senate,,LIB,19,RICK BRECKENRIDGE,House District 72,Senate District 36
Beaverhead,PRECINCT 07,U.S. Senate,,LIB,8,RICK BRECKENRIDGE,House District 72,Senate District 36
Beaverhead,PRECINCT 08,U.S. Senate,,LIB,3,RICK BRECKENRIDGE,House District 72,Senate District 36
Beaverhead,PRECINCT 09,U.S. Senate,,LIB,11,RICK BRECKENRIDGE,House District 72,Senate District 36
Beaverhead,PRECINCT 12,U.S. Senate,,LIB,10,RICK BRECKENRIDGE,House District 72,Senate District 36
Beaverhead,PRECINCT 14,U.S. Senate,,LIB,15,RICK BRECKENRIDGE,House District 72,Senate District 36
Beaverhead,PRECINCT 17,U.S. Senate,,LIB,4,RICK BRECKENRIDGE,House District 72,Senate District 36
Beaverhead,PRECINCT 19,U.S. Senate,,LIB,5,RICK BRECKENRIDGE,House District 72,Senate District 36
Beaverhead,PRECINCT 20,U.S. Senate,,LIB,5,RICK BRECKENRIDGE,House District 72,Senate District 36
Beaverhead,PRECINCT 21,U.S. Senate,,LIB,2,RICK BRECKENRIDGE,House District 72,Senate District 36
Beaverhead,PRECINCT 23,U.S. Senate,,LIB,1,RICK BRECKENRIDGE,House District 72,Senate District 36
Beaverhead,PRECINCT 01,U.S. House,1,REP,180,GREG GIANFORTE,House District 72,Senate District 36
Beaverhead,PRECINCT 02,U.S. House,1,REP,494,GREG GIANFORTE,House District 72,Senate District 36
Beaverhead,PRECINCT 03,U.S. House,1,REP,509,GREG GIANFORTE,House District 72,Senate District 36
Beaverhead,PRECINCT 04,U.S. House,1,REP,117,GREG GIANFORTE,House District 72,Senate District 36
Beaverhead,PRECINCT 05,U.S. House,1,REP,106,GREG GIANFORTE,House District 72,Senate District 36
Beaverhead,PRECINCT 06,U.S. House,1,REP,270,GREG GIANFORTE,House District 72,Senate District 36
Beaverhead,PRECINCT 07,U.S. House,1,REP,222,GREG GIANFORTE,House District 72,Senate District 36
Beaverhead,PRECINCT 08,U.S. House,1,REP,55,GREG GIANFORTE,House District 72,Senate District 36
Beaverhead,PRECINCT 09,U.S. House,1,REP,291,GREG GIANFORTE,House District 72,Senate District 36
Beaverhead,PRECINCT 12,U.S. House,1,REP,262,GREG GIANFORTE,House District 72,Senate District 36
Beaverhead,PRECINCT 14,U.S. House,1,REP,172,GREG GIANFORTE,House District 72,Senate District 36
Beaverhead,PRECINCT 17,U.S. House,1,REP,82,GREG GIANFORTE,House District 72,Senate District 36
Beaverhead,PRECINCT 19,U.S. House,1,REP,89,GREG GIANFORTE,House District 72,Senate District 36
Beaverhead,PRECINCT 20,U.S. House,1,REP,76,GREG GIANFORTE,House District 72,Senate District 36
Beaverhead,PRECINCT 21,U.S. House,1,REP,102,GREG GIANFORTE,House District 72,Senate District 36
Beaverhead,PRECINCT 23,U.S. House,1,REP,86,GREG GIANFORTE,House District 72,Senate District 36
Beaverhead,PRECINCT 01,U.S. House,1,DEM,231,KATHLEEN WILLIAMS,House District 72,Senate District 36
Beaverhead,PRECINCT 02,U.S. House,1,DEM,199,KATHLEEN WILLIAMS,House District 72,Senate District 36
Beaverhead,PRECINCT 03,U.S. House,1,DEM,219,KATHLEEN WILLIAMS,House District 72,Senate District 36
Beaverhead,PRECINCT 04,U.S. House,1,DEM,44,KATHLEEN WILLIAMS,House District 72,Senate District 36
Beaverhead,PRECINCT 05,U.S. House,1,DEM,27,KATHLEEN WILLIAMS,House District 72,Senate District 36
Beaverhead,PRECINCT 06,U.S. House,1,DEM,199,KATHLEEN WILLIAMS,House District 72,Senate District 36
Beaverhead,PRECINCT 07,U.S. House,1,DEM,72,KATHLEEN WILLIAMS,House District 72,Senate District 36
Beaverhead,PRECINCT 08,U.S. House,1,DEM,13,KATHLEEN WILLIAMS,House District 72,Senate District 36
Beaverhead,PRECINCT 09,U.S. House,1,DEM,134,KATHLEEN WILLIAMS,House District 72,Senate District 36
Beaverhead,PRECINCT 12,U.S. House,1,DEM,225,KATHLEEN WILLIAMS,House District 72,Senate District 36
Beaverhead,PRECINCT 14,U.S. House,1,DEM,170,KATHLEEN WILLIAMS,House District 72,Senate District 36
Beaverhead,PRECINCT 17,U.S. House,1,DEM,27,KATHLEEN WILLIAMS,House District 72,Senate District 36
Beaverhead,PRECINCT 19,U.S. House,1,DEM,25,KATHLEEN WILLIAMS,House District 72,Senate District 36
Beaverhead,PRECINCT 20,U.S. House,1,DEM,10,KATHLEEN WILLIAMS,House District 72,Senate District 36
Beaverhead,PRECINCT 21,U.S. House,1,DEM,49,KATHLEEN WILLIAMS,House District 72,Senate District 36
Beaverhead,PRECINCT 23,U.S. House,1,DEM,37,KATHLEEN WILLIAMS,House District 72,Senate District 36
Beaverhead,PRECINCT 01,U.S. House,1,LIB,9,ELINOR SWANSON,House District 72,Senate District 36
Beaverhead,PRECINCT 02,U.S. House,1,LIB,21,ELINOR SWANSON,House District 72,Senate District 36
Beaverhead,PRECINCT 03,U.S. House,1,LIB,16,ELINOR SWANSON,House District 72,Senate District 36
Beaverhead,PRECINCT 04,U.S. House,1,LIB,6,ELINOR SWANSON,House District 72,Senate District 36
