county,precinct,district,office,party,candidate,votes
Beaverhead,PRECINCT 01,,President,Democrat,Hillary Clinton,175
Beaverhead,PRECINCT 12,,President,Democrat,Hillary Clinton,157
Beaverhead,PRECINCT 14,,President,Democrat,Hillary Clinton,125
Beaverhead,PRECINCT 17,,President,Democrat,Hillary Clinton,18
Beaverhead,PRECINCT 19,,President,Democrat,Hillary Clinton,14
Beaverhead,PRECINCT 02,,President,Democrat,Hillary Clinton,127
Beaverhead,PRECINCT 20,,President,Democrat,Hillary Clinton,2
Beaverhead,PRECINCT 21,,President,Democrat,Hillary Clinton,25
Beaverhead,PRECINCT 23,,President,Democrat,Hillary Clinton,29
Beaverhead,PRECINCT 03,,President,Democrat,Hillary Clinton,158
Beaverhead,PRECINCT 04,,President,Democrat,Hillary Clinton,34
Beaverhead,PRECINCT 05,,President,Democrat,Hillary Clinton,9
Beaverhead,PRECINCT 06,,President,Democrat,Hillary Clinton,129
Beaverhead,PRECINCT 07,,President,Democrat,Hillary Clinton,40
Beaverhead,PRECINCT 08,,President,Democrat,Hillary Clinton,14
Beaverhead,PRECINCT 09,,President,Democrat,Hillary Clinton,87
Beaverhead,PRECINCT 01,,President,American Delta,Rocky Roque de la Fuenta,1
Beaverhead,PRECINCT 12,,President,American Delta,Rocky Roque de la Fuenta,2
Beaverhead,PRECINCT 14,,President,American Delta,Rocky Roque de la Fuenta,2
Beaverhead,PRECINCT 17,,President,American Delta,Rocky Roque de la Fuenta,2
Beaverhead,PRECINCT 19,,President,American Delta,Rocky Roque de la Fuenta,1
Beaverhead,PRECINCT 02,,President,American Delta,Rocky Roque de la Fuenta,4
Beaverhead,PRECINCT 20,,President,American Delta,Rocky Roque de la Fuenta,0
Beaverhead,PRECINCT 21,,President,American Delta,Rocky Roque de la Fuenta,0
Beaverhead,PRECINCT 23,,President,American Delta,Rocky Roque de la Fuenta,0
Beaverhead,PRECINCT 03,,President,American Delta,Rocky Roque de la Fuenta,0
Beaverhead,PRECINCT 04,,President,American Delta,Rocky Roque de la Fuenta,0
Beaverhead,PRECINCT 05,,President,American Delta,Rocky Roque de la Fuenta,0
Beaverhead,PRECINCT 06,,President,American Delta,Rocky Roque de la Fuenta,2
Beaverhead,PRECINCT 07,,President,American Delta,Rocky Roque de la Fuenta,2
Beaverhead,PRECINCT 08,,President,American Delta,Rocky Roque de la Fuenta,1
Beaverhead,PRECINCT 09,,President,American Delta,Rocky Roque de la Fuenta,1
Beaverhead,PRECINCT 01,,President,Libertarian,Gary Johnson,48
Beaverhead,PRECINCT 12,,President,Libertarian,Gary Johnson,21
Beaverhead,PRECINCT 14,,President,Libertarian,Gary Johnson,27
Beaverhead,PRECINCT 17,,President,Libertarian,Gary Johnson,3
Beaverhead,PRECINCT 19,,President,Libertarian,Gary Johnson,6
Beaverhead,PRECINCT 02,,President,Libertarian,Gary Johnson,35
Beaverhead,PRECINCT 20,,President,Libertarian,Gary Johnson,0
Beaverhead,PRECINCT 21,,President,Libertarian,Gary Johnson,10
Beaverhead,PRECINCT 23,,President,Libertarian,Gary Johnson,5
Beaverhead,PRECINCT 03,,President,Libertarian,Gary Johnson,32
Beaverhead,PRECINCT 04,,President,Libertarian,Gary Johnson,6
Beaverhead,PRECINCT 05,,President,Libertarian,Gary Johnson,4
Beaverhead,PRECINCT 06,,President,Libertarian,Gary Johnson,35
Beaverhead,PRECINCT 07,,President,Libertarian,Gary Johnson,12
Beaverhead,PRECINCT 08,,President,Libertarian,Gary Johnson,2
Beaverhead,PRECINCT 09,,President,Libertarian,Gary Johnson,19
Beaverhead,PRECINCT 01,,President,Green,Jill Stein,15
Beaverhead,PRECINCT 12,,President,Green,Jill Stein,2
Beaverhead,PRECINCT 14,,President,Green,Jill Stein,7
Beaverhead,PRECINCT 17,,President,Green,Jill Stein,1
Beaverhead,PRECINCT 19,,President,Green,Jill Stein,1
Beaverhead,PRECINCT 02,,President,Green,Jill Stein,16
Beaverhead,PRECINCT 20,,President,Green,Jill Stein,1
Beaverhead,PRECINCT 21,,President,Green,Jill Stein,2
Beaverhead,PRECINCT 23,,President,Green,Jill Stein,0
Beaverhead,PRECINCT 03,,President,Green,Jill Stein,5
Beaverhead,PRECINCT 04,,President,Green,Jill Stein,1
Beaverhead,PRECINCT 05,,President,Green,Jill Stein,1
Beaverhead,PRECINCT 06,,President,Green,Jill Stein,10
Beaverhead,PRECINCT 07,,President,Green,Jill Stein,4
Beaverhead,PRECINCT 08,,President,Green,Jill Stein,0
Beaverhead,PRECINCT 09,,President,Green,Jill Stein,4
Beaverhead,PRECINCT 01,,President,Republican,Donald Trump,203
Beaverhead,PRECINCT 12,,President,Republican,Donald Trump,270
Beaverhead,PRECINCT 14,,President,Republican,Donald Trump,225
Beaverhead,PRECINCT 17,,President,Republican,Donald Trump,82
Beaverhead,PRECINCT 19,,President,Republican,Donald Trump,92
Beaverhead,PRECINCT 02,,President,Republican,Donald Trump,551
Beaverhead,PRECINCT 20,,President,Republican,Donald Trump,74
Beaverhead,PRECINCT 21,,President,Republican,Donald Trump,117
Beaverhead,PRECINCT 23,,President,Republican,Donald Trump,91
Beaverhead,PRECINCT 03,,President,Republican,Donald Trump,507
Beaverhead,PRECINCT 04,,President,Republican,Donald Trump,131
Beaverhead,PRECINCT 05,,President,Republican,Donald Trump,99
Beaverhead,PRECINCT 06,,President,Republican,Donald Trump,324
Beaverhead,PRECINCT 07,,President,Republican,Donald Trump,231
Beaverhead,PRECINCT 08,,President,Republican,Donald Trump,56
Beaverhead,PRECINCT 09,,President,Republican,Donald Trump,300
Big Horn,PRECINCT #9,,President,Democrat,Hillary Clinton,97
Big Horn,PRECINCT #4N,,President,Democrat,Hillary Clinton,16
Big Horn,PRECINCT #2,,President,Democrat,Hillary Clinton,46
Big Horn,PRECINCT #3,,President,Democrat,Hillary Clinton,20
Big Horn,PRECINCT #4,,President,Democrat,Hillary Clinton,13
Big Horn,PRECINCT #5,,President,Democrat,Hillary Clinton,136
Big Horn,PRECINCT #6,,President,Democrat,Hillary Clinton,14
Big Horn,PRECINCT #7,,President,Democrat,Hillary Clinton,554
Big Horn,PRECINCT #8,,President,Democrat,Hillary Clinton,46
Big Horn,PRECINCT #1,,President,Democrat,Hillary Clinton,56
Big Horn,PRECINCT #10,,President,Democrat,Hillary Clinton,12
Big Horn,PRECINCT #17,,President,Democrat,Hillary Clinton,116
Big Horn,PRECINCT #18,,President,Democrat,Hillary Clinton,81
Big Horn,PRECINCT #19,,President,Democrat,Hillary Clinton,172
Big Horn,PRECINCT #26,,President,Democrat,Hillary Clinton,224
Big Horn,PRECINCT #21,,President,Democrat,Hillary Clinton,228
Big Horn,PRECINCT #25,,President,Democrat,Hillary Clinton,64
Big Horn,PRECINCT #15,,President,Democrat,Hillary Clinton,129
Big Horn,PRECINCT #14,,President,Democrat,Hillary Clinton,70
Big Horn,PRECINCT #9,,President,American Delta,Rocky Roque de la Fuenta,1
Big Horn,PRECINCT #4N,,President,American Delta,Rocky Roque de la Fuenta,0
Big Horn,PRECINCT #2,,President,American Delta,Rocky Roque de la Fuenta,0
Big Horn,PRECINCT #3,,President,American Delta,Rocky Roque de la Fuenta,0
Big Horn,PRECINCT #4,,President,American Delta,Rocky Roque de la Fuenta,0
Big Horn,PRECINCT #5,,President,American Delta,Rocky Roque de la Fuenta,0
Big Horn,PRECINCT #6,,President,American Delta,Rocky Roque de la Fuenta,0
Big Horn,PRECINCT #7,,President,American Delta,Rocky Roque de la Fuenta,6
Big Horn,PRECINCT #8,,President,American Delta,Rocky Roque de la Fuenta,0
Big Horn,PRECINCT #1,,President,American Delta,Rocky Roque de la Fuenta,0
Big Horn,PRECINCT #10,,President,American Delta,Rocky Roque de la Fuenta,0
Big Horn,PRECINCT #17,,President,American Delta,Rocky Roque de la Fuenta,1
Big Horn,PRECINCT #18,,President,American Delta,Rocky Roque de la Fuenta,1
Big Horn,PRECINCT #19,,President,American Delta,Rocky Roque de la Fuenta,2
Big Horn,PRECINCT #26,,President,American Delta,Rocky Roque de la Fuenta,3
Big Horn,PRECINCT #21,,President,American Delta,Rocky Roque de la Fuenta,2
Big Horn,PRECINCT #25,,President,American Delta,Rocky Roque de la Fuenta,1
Big Horn,PRECINCT #15,,President,American Delta,Rocky Roque de la Fuenta,3
Big Horn,PRECINCT #14,,President,American Delta,Rocky Roque de la Fuenta,1
Big Horn,PRECINCT #9,,President,Libertarian,Gary Johnson,3
Big Horn,PRECINCT #4N,,President,Libertarian,Gary Johnson,4
Big Horn,PRECINCT #2,,President,Libertarian,Gary Johnson,7
Big Horn,PRECINCT #3,,President,Libertarian,Gary Johnson,3
Big Horn,PRECINCT #4,,President,Libertarian,Gary Johnson,2
Big Horn,PRECINCT #5,,President,Libertarian,Gary Johnson,4
Big Horn,PRECINCT #6,,President,Libertarian,Gary Johnson,2
Big Horn,PRECINCT #7,,President,Libertarian,Gary Johnson,30
Big Horn,PRECINCT #8,,President,Libertarian,Gary Johnson,5
Big Horn,PRECINCT #1,,President,Libertarian,Gary Johnson,4
Big Horn,PRECINCT #10,,President,Libertarian,Gary Johnson,1
Big Horn,PRECINCT #17,,President,Libertarian,Gary Johnson,15
Big Horn,PRECINCT #18,,President,Libertarian,Gary Johnson,26
Big Horn,PRECINCT #19,,President,Libertarian,Gary Johnson,35
Big Horn,PRECINCT #26,,President,Libertarian,Gary Johnson,11
Big Horn,PRECINCT #21,,President,Libertarian,Gary Johnson,4
Big Horn,PRECINCT #25,,President,Libertarian,Gary Johnson,1
Big Horn,PRECINCT #15,,President,Libertarian,Gary Johnson,21
Big Horn,PRECINCT #14,,President,Libertarian,Gary Johnson,7
Big Horn,PRECINCT #9,,President,Green,Jill Stein,1
Big Horn,PRECINCT #4N,,President,Green,Jill Stein,0
Big Horn,PRECINCT #2,,President,Green,Jill Stein,0
Big Horn,PRECINCT #3,,President,Green,Jill Stein,0
Big Horn,PRECINCT #4,,President,Green,Jill Stein,2
Big Horn,PRECINCT #5,,President,Green,Jill Stein,2
Big Horn,PRECINCT #6,,President,Green,Jill Stein,0
Big Horn,PRECINCT #7,,President,Green,Jill Stein,25
Big Horn,PRECINCT #8,,President,Green,Jill Stein,2
Big Horn,PRECINCT #1,,President,Green,Jill Stein,0
Big Horn,PRECINCT #10,,President,Green,Jill Stein,1
Big Horn,PRECINCT #17,,President,Green,Jill Stein,3
Big Horn,PRECINCT #18,,President,Green,Jill Stein,5
Big Horn,PRECINCT #19,,President,Green,Jill Stein,7
Big Horn,PRECINCT #26,,President,Green,Jill Stein,7
Big Horn,PRECINCT #21,,President,Green,Jill Stein,6
Big Horn,PRECINCT #25,,President,Green,Jill Stein,1
Big Horn,PRECINCT #15,,President,Green,Jill Stein,7
Big Horn,PRECINCT #14,,President,Green,Jill Stein,2
Big Horn,PRECINCT #9,,President,Republican,Donald Trump,28
Big Horn,PRECINCT #4N,,President,Republican,Donald Trump,124
Big Horn,PRECINCT #2,,President,Republican,Donald Trump,56
Big Horn,PRECINCT #3,,President,Republican,Donald Trump,114
Big Horn,PRECINCT #4,,President,Republican,Donald Trump,60
Big Horn,PRECINCT #5,,President,Republican,Donald Trump,48
Big Horn,PRECINCT #6,,President,Republican,Donald Trump,50
Big Horn,PRECINCT #7,,President,Republican,Donald Trump,89
Big Horn,PRECINCT #8,,President,Republican,Donald Trump,98
Big Horn,PRECINCT #1,,President,Republican,Donald Trump,93
Big Horn,PRECINCT #10,,President,Republican,Donald Trump,49
Big Horn,PRECINCT #17,,President,Republican,Donald Trump,200
Big Horn,PRECINCT #18,,President,Republican,Donald Trump,194
Big Horn,PRECINCT #19,,President,Republican,Donald Trump,269
Big Horn,PRECINCT #26,,President,Republican,Donald Trump,73
Big Horn,PRECINCT #21,,President,Republican,Donald Trump,93
Big Horn,PRECINCT #25,,President,Republican,Donald Trump,57
Big Horn,PRECINCT #15,,President,Republican,Donald Trump,107
Big Horn,PRECINCT #14,,President,Republican,Donald Trump,51
Blaine,TURNER 1-33,,President,Democrat,Hillary Clinton,32
Blaine,BELKNAP 3-32,,President,Democrat,Hillary Clinton,300
Blaine,HARLEM 8-32,,President,Democrat,Hillary Clinton,152
Blaine,SO CHINOOK 10-32,,President,Democrat,Hillary Clinton,54
Blaine,NO CHINOOK 13-33,,President,Democrat,Hillary Clinton,16
Blaine,HAYS 15-32,,President,Democrat,Hillary Clinton,350
Blaine,HARLEM 9-32,,President,Democrat,Hillary Clinton,126
Blaine,CHINOOK 11-33,,President,Democrat,Hillary Clinton,172
Blaine,TURNER 1-33,,President,American Delta,Rocky Roque de la Fuenta,2
Blaine,BELKNAP 3-32,,President,American Delta,Rocky Roque de la Fuenta,2
Blaine,HARLEM 8-32,,President,American Delta,Rocky Roque de la Fuenta,2
Blaine,SO CHINOOK 10-32,,President,American Delta,Rocky Roque de la Fuenta,3
Blaine,NO CHINOOK 13-33,,President,American Delta,Rocky Roque de la Fuenta,0
Blaine,HAYS 15-32,,President,American Delta,Rocky Roque de la Fuenta,10
Blaine,HARLEM 9-32,,President,American Delta,Rocky Roque de la Fuenta,5
Blaine,CHINOOK 11-33,,President,American Delta,Rocky Roque de la Fuenta,2
Blaine,TURNER 1-33,,President,Libertarian,Gary Johnson,9
Blaine,BELKNAP 3-32,,President,Libertarian,Gary Johnson,11
Blaine,HARLEM 8-32,,President,Libertarian,Gary Johnson,9
Blaine,SO CHINOOK 10-32,,President,Libertarian,Gary Johnson,19
Blaine,NO CHINOOK 13-33,,President,Libertarian,Gary Johnson,3
Blaine,HAYS 15-32,,President,Libertarian,Gary Johnson,11
Blaine,HARLEM 9-32,,President,Libertarian,Gary Johnson,3
Blaine,CHINOOK 11-33,,President,Libertarian,Gary Johnson,37
Blaine,TURNER 1-33,,President,Green,Jill Stein,0
Blaine,BELKNAP 3-32,,President,Green,Jill Stein,17
Blaine,HARLEM 8-32,,President,Green,Jill Stein,11
Blaine,SO CHINOOK 10-32,,President,Green,Jill Stein,1
Blaine,NO CHINOOK 13-33,,President,Green,Jill Stein,0
Blaine,HAYS 15-32,,President,Green,Jill Stein,19
Blaine,HARLEM 9-32,,President,Green,Jill Stein,14
Blaine,CHINOOK 11-33,,President,Green,Jill Stein,11
Blaine,TURNER 1-33,,President,Republican,Donald Trump,217
Blaine,BELKNAP 3-32,,President,Republican,Donald Trump,35
Blaine,HARLEM 8-32,,President,Republican,Donald Trump,113
Blaine,SO CHINOOK 10-32,,President,Republican,Donald Trump,370
Blaine,NO CHINOOK 13-33,,President,Republican,Donald Trump,97
Blaine,HAYS 15-32,,President,Republican,Donald Trump,43
Blaine,HARLEM 9-32,,President,Republican,Donald Trump,12
Blaine,CHINOOK 11-33,,President,Republican,Donald Trump,381
Broadwater,PRECINCT 1,,President,Democrat,Hillary Clinton,150
Broadwater,PRECINCT 11,,President,Democrat,Hillary Clinton,100
Broadwater,PRECINCT 12,,President,Democrat,Hillary Clinton,132
Broadwater,PRECINCT 13,,President,Democrat,Hillary Clinton,86
Broadwater,PRECINCT 7,,President,Democrat,Hillary Clinton,105
Broadwater,PRECINCT 1,,President,American Delta,Rocky Roque de la Fuenta,2
Broadwater,PRECINCT 11,,President,American Delta,Rocky Roque de la Fuenta,0
Broadwater,PRECINCT 12,,President,American Delta,Rocky Roque de la Fuenta,1
Broadwater,PRECINCT 13,,President,American Delta,Rocky Roque de la Fuenta,1
Broadwater,PRECINCT 7,,President,American Delta,Rocky Roque de la Fuenta,1
Broadwater,PRECINCT 1,,President,Libertarian,Gary Johnson,24
Broadwater,PRECINCT 11,,President,Libertarian,Gary Johnson,30
Broadwater,PRECINCT 12,,President,Libertarian,Gary Johnson,42
Broadwater,PRECINCT 13,,President,Libertarian,Gary Johnson,39
Broadwater,PRECINCT 7,,President,Libertarian,Gary Johnson,34
Broadwater,PRECINCT 1,,President,Green,Jill Stein,5
Broadwater,PRECINCT 11,,President,Green,Jill Stein,6
Broadwater,PRECINCT 12,,President,Green,Jill Stein,11
Broadwater,PRECINCT 13,,President,Green,Jill Stein,10
Broadwater,PRECINCT 7,,President,Green,Jill Stein,5
Broadwater,PRECINCT 1,,President,Republican,Donald Trump,484
Broadwater,PRECINCT 11,,President,Republican,Donald Trump,513
Broadwater,PRECINCT 12,,President,Republican,Donald Trump,485
Broadwater,PRECINCT 13,,President,Republican,Donald Trump,532
Broadwater,PRECINCT 7,,President,Republican,Donald Trump,334
Carbon,P 6,,President,Democrat,Hillary Clinton,72
Carbon,P 15,,President,Democrat,Hillary Clinton,102
Carbon,P 11,,President,Democrat,Hillary Clinton,400
Carbon,P 8,,President,Democrat,Hillary Clinton,245
Carbon,P 10,,President,Democrat,Hillary Clinton,221
Carbon,P 2,,President,Democrat,Hillary Clinton,73
Carbon,P 3,,President,Democrat,Hillary Clinton,104
Carbon,P 9,,President,Democrat,Hillary Clinton,199
