county,precinct,district,office,party,candidate,votes
Beaverhead,PRECINCT 01,,U.S. House,Republican,GREG GIANFORTE,106
Beaverhead,PRECINCT 12,,U.S. House,Republican,GREG GIANFORTE,197
Beaverhead,PRECINCT 14,,U.S. House,Republican,GREG GIANFORTE,119
Beaverhead,PRECINCT 17,,U.S. House,Republican,GREG GIANFORTE,55
Beaverhead,PRECINCT 19,,U.S. House,Republican,GREG GIANFORTE,75
Beaverhead,PRECINCT 02,,U.S. House,Republican,GREG GIANFORTE,360
Beaverhead,PRECINCT 20,,U.S. House,Republican,GREG GIANFORTE,60
Beaverhead,PRECINCT 21,,U.S. House,Republican,GREG GIANFORTE,81
Beaverhead,PRECINCT 23,,U.S. House,Republican,GREG GIANFORTE,70
Beaverhead,PRECINCT 03,,U.S. House,Republican,GREG GIANFORTE,375
Beaverhead,PRECINCT 04,,U.S. House,Republican,GREG GIANFORTE,91
Beaverhead,PRECINCT 05,,U.S. House,Republican,GREG GIANFORTE,67
Beaverhead,PRECINCT 06,,U.S. House,Republican,GREG GIANFORTE,191
Beaverhead,PRECINCT 07,,U.S. House,Republican,GREG GIANFORTE,148
Beaverhead,PRECINCT 08,,U.S. House,Republican,GREG GIANFORTE,41
Beaverhead,PRECINCT 09,,U.S. House,Republican,GREG GIANFORTE,203
Beaverhead,PRECINCT 01,,U.S. House,Democratic,ROB QUIST,159
Beaverhead,PRECINCT 12,,U.S. House,Democratic,ROB QUIST,143
Beaverhead,PRECINCT 14,,U.S. House,Democratic,ROB QUIST,121
Beaverhead,PRECINCT 17,,U.S. House,Democratic,ROB QUIST,22
Beaverhead,PRECINCT 19,,U.S. House,Democratic,ROB QUIST,16
Beaverhead,PRECINCT 02,,U.S. House,Democratic,ROB QUIST,151
Beaverhead,PRECINCT 20,,U.S. House,Democratic,ROB QUIST,4
Beaverhead,PRECINCT 21,,U.S. House,Democratic,ROB QUIST,32
Beaverhead,PRECINCT 23,,U.S. House,Democratic,ROB QUIST,33
Beaverhead,PRECINCT 03,,U.S. House,Democratic,ROB QUIST,161
Beaverhead,PRECINCT 04,,U.S. House,Democratic,ROB QUIST,29
Beaverhead,PRECINCT 05,,U.S. House,Democratic,ROB QUIST,12
Beaverhead,PRECINCT 06,,U.S. House,Democratic,ROB QUIST,119
Beaverhead,PRECINCT 07,,U.S. House,Democratic,ROB QUIST,39
Beaverhead,PRECINCT 08,,U.S. House,Democratic,ROB QUIST,12
Beaverhead,PRECINCT 09,,U.S. House,Democratic,ROB QUIST,91
Beaverhead,PRECINCT 01,,U.S. House,Libertarian,MARK L WICKS,16
Beaverhead,PRECINCT 12,,U.S. House,Libertarian,MARK L WICKS,31
Beaverhead,PRECINCT 14,,U.S. House,Libertarian,MARK L WICKS,24
Beaverhead,PRECINCT 17,,U.S. House,Libertarian,MARK L WICKS,5
Beaverhead,PRECINCT 19,,U.S. House,Libertarian,MARK L WICKS,2
Beaverhead,PRECINCT 02,,U.S. House,Libertarian,MARK L WICKS,21
Beaverhead,PRECINCT 20,,U.S. House,Libertarian,MARK L WICKS,4
Beaverhead,PRECINCT 21,,U.S. House,Libertarian,MARK L WICKS,8
Beaverhead,PRECINCT 23,,U.S. House,Libertarian,MARK L WICKS,9
Beaverhead,PRECINCT 03,,U.S. House,Libertarian,MARK L WICKS,15
Beaverhead,PRECINCT 04,,U.S. House,Libertarian,MARK L WICKS,9
Beaverhead,PRECINCT 05,,U.S. House,Libertarian,MARK L WICKS,10
Beaverhead,PRECINCT 06,,U.S. House,Libertarian,MARK L WICKS,31
Beaverhead,PRECINCT 07,,U.S. House,Libertarian,MARK L WICKS,10
Beaverhead,PRECINCT 08,,U.S. House,Libertarian,MARK L WICKS,2
Beaverhead,PRECINCT 09,,U.S. House,Libertarian,MARK L WICKS,15
Big Horn,PRECINCT #9,,U.S. House,Republican,GREG GIANFORTE,20
Big Horn,PRECINCT #4N,,U.S. House,Republican,GREG GIANFORTE,79
Big Horn,PRECINCT #2,,U.S. House,Republican,GREG GIANFORTE,38
Big Horn,PRECINCT #3,,U.S. House,Republican,GREG GIANFORTE,78
Big Horn,PRECINCT #4,,U.S. House,Republican,GREG GIANFORTE,40
Big Horn,PRECINCT #5,,U.S. House,Republican,GREG GIANFORTE,33
Big Horn,PRECINCT #6,,U.S. House,Republican,GREG GIANFORTE,34
Big Horn,PRECINCT #7,,U.S. House,Republican,GREG GIANFORTE,65
Big Horn,PRECINCT #8,,U.S. House,Republican,GREG GIANFORTE,60
Big Horn,PRECINCT #1,,U.S. House,Republican,GREG GIANFORTE,72
Big Horn,PRECINCT #10,,U.S. House,Republican,GREG GIANFORTE,34
Big Horn,PRECINCT #17,,U.S. House,Republican,GREG GIANFORTE,133
Big Horn,PRECINCT #18,,U.S. House,Republican,GREG GIANFORTE,127
Big Horn,PRECINCT #19,,U.S. House,Republican,GREG GIANFORTE,159
Big Horn,PRECINCT #26,,U.S. House,Republican,GREG GIANFORTE,42
Big Horn,PRECINCT #21,,U.S. House,Republican,GREG GIANFORTE,64
Big Horn,PRECINCT #25,,U.S. House,Republican,GREG GIANFORTE,38
Big Horn,PRECINCT #15,,U.S. House,Republican,GREG GIANFORTE,51
Big Horn,PRECINCT #14,,U.S. House,Republican,GREG GIANFORTE,26
Big Horn,PRECINCT #9,,U.S. House,Democratic,ROB QUIST,44
Big Horn,PRECINCT #4N,,U.S. House,Democratic,ROB QUIST,12
Big Horn,PRECINCT #2,,U.S. House,Democratic,ROB QUIST,36
Big Horn,PRECINCT #3,,U.S. House,Democratic,ROB QUIST,9
Big Horn,PRECINCT #4,,U.S. House,Democratic,ROB QUIST,11
Big Horn,PRECINCT #5,,U.S. House,Democratic,ROB QUIST,85
Big Horn,PRECINCT #6,,U.S. House,Democratic,ROB QUIST,10
Big Horn,PRECINCT #7,,U.S. House,Democratic,ROB QUIST,326
Big Horn,PRECINCT #8,,U.S. House,Democratic,ROB QUIST,29
Big Horn,PRECINCT #1,,U.S. House,Democratic,ROB QUIST,36
Big Horn,PRECINCT #10,,U.S. House,Democratic,ROB QUIST,9
Big Horn,PRECINCT #17,,U.S. House,Democratic,ROB QUIST,91
Big Horn,PRECINCT #18,,U.S. House,Democratic,ROB QUIST,73
Big Horn,PRECINCT #19,,U.S. House,Democratic,ROB QUIST,148
Big Horn,PRECINCT #26,,U.S. House,Democratic,ROB QUIST,146
Big Horn,PRECINCT #21,,U.S. House,Democratic,ROB QUIST,147
Big Horn,PRECINCT #25,,U.S. House,Democratic,ROB QUIST,37
Big Horn,PRECINCT #15,,U.S. House,Democratic,ROB QUIST,98
Big Horn,PRECINCT #14,,U.S. House,Democratic,ROB QUIST,47
Big Horn,PRECINCT #9,,U.S. House,Libertarian,MARK L WICKS,4
Big Horn,PRECINCT #4N,,U.S. House,Libertarian,MARK L WICKS,5
Big Horn,PRECINCT #2,,U.S. House,Libertarian,MARK L WICKS,7
Big Horn,PRECINCT #3,,U.S. House,Libertarian,MARK L WICKS,7
Big Horn,PRECINCT #4,,U.S. House,Libertarian,MARK L WICKS,5
Big Horn,PRECINCT #5,,U.S. House,Libertarian,MARK L WICKS,4
Big Horn,PRECINCT #6,,U.S. House,Libertarian,MARK L WICKS,2
Big Horn,PRECINCT #7,,U.S. House,Libertarian,MARK L WICKS,17
Big Horn,PRECINCT #8,,U.S. House,Libertarian,MARK L WICKS,5
Big Horn,PRECINCT #1,,U.S. House,Libertarian,MARK L WICKS,4
Big Horn,PRECINCT #10,,U.S. House,Libertarian,MARK L WICKS,2
Big Horn,PRECINCT #17,,U.S. House,Libertarian,MARK L WICKS,15
Big Horn,PRECINCT #18,,U.S. House,Libertarian,MARK L WICKS,14
Big Horn,PRECINCT #19,,U.S. House,Libertarian,MARK L WICKS,25
Big Horn,PRECINCT #26,,U.S. House,Libertarian,MARK L WICKS,5
Big Horn,PRECINCT #21,,U.S. House,Libertarian,MARK L WICKS,9
Big Horn,PRECINCT #25,,U.S. House,Libertarian,MARK L WICKS,2
Big Horn,PRECINCT #15,,U.S. House,Libertarian,MARK L WICKS,9
Big Horn,PRECINCT #14,,U.S. House,Libertarian,MARK L WICKS,2
Blaine,TURNER 1-33,,U.S. House,Republican,GREG GIANFORTE,157
Blaine,BELKNAP 3-32,,U.S. House,Republican,GREG GIANFORTE,21
Blaine,HARLEM 8-32,,U.S. House,Republican,GREG GIANFORTE,69
Blaine,SO CHINOOK 10-32,,U.S. House,Republican,GREG GIANFORTE,250
Blaine,NO CHINOOK 13-33,,U.S. House,Republican,GREG GIANFORTE,61
Blaine,HAYS 15-32,,U.S. House,Republican,GREG GIANFORTE,14
Blaine,HARLEM 9-32,,U.S. House,Republican,GREG GIANFORTE,5
Blaine,CHINOOK 11-33,,U.S. House,Republican,GREG GIANFORTE,244
Blaine,TURNER 1-33,,U.S. House,Democratic,ROB QUIST,45
Blaine,BELKNAP 3-32,,U.S. House,Democratic,ROB QUIST,216
Blaine,HARLEM 8-32,,U.S. House,Democratic,ROB QUIST,137
Blaine,SO CHINOOK 10-32,,U.S. House,Democratic,ROB QUIST,60
Blaine,NO CHINOOK 13-33,,U.S. House,Democratic,ROB QUIST,18
Blaine,HAYS 15-32,,U.S. House,Democratic,ROB QUIST,239
Blaine,HARLEM 9-32,,U.S. House,Democratic,ROB QUIST,74
Blaine,CHINOOK 11-33,,U.S. House,Democratic,ROB QUIST,185
Blaine,TURNER 1-33,,U.S. House,Libertarian,MARK L WICKS,18
Blaine,BELKNAP 3-32,,U.S. House,Libertarian,MARK L WICKS,8
Blaine,HARLEM 8-32,,U.S. House,Libertarian,MARK L WICKS,19
Blaine,SO CHINOOK 10-32,,U.S. House,Libertarian,MARK L WICKS,46
Blaine,NO CHINOOK 13-33,,U.S. House,Libertarian,MARK L WICKS,11
Blaine,HAYS 15-32,,U.S. House,Libertarian,MARK L WICKS,6
Blaine,HARLEM 9-32,,U.S. House,Libertarian,MARK L WICKS,4
Blaine,CHINOOK 11-33,,U.S. House,Libertarian,MARK L WICKS,56
Broadwater,PRECINCT 1,,U.S. House,Republican,GREG GIANFORTE,331
Broadwater,PRECINCT 11,,U.S. House,Republican,GREG GIANFORTE,339
Broadwater,PRECINCT 12,,U.S. House,Republican,GREG GIANFORTE,273
Broadwater,PRECINCT 13,,U.S. House,Republican,GREG GIANFORTE,345
Broadwater,PRECINCT 7,,U.S. House,Republican,GREG GIANFORTE,193
Broadwater,PRECINCT 1,,U.S. House,Democratic,ROB QUIST,166
Broadwater,PRECINCT 11,,U.S. House,Democratic,ROB QUIST,116
Broadwater,PRECINCT 12,,U.S. House,Democratic,ROB QUIST,143
Broadwater,PRECINCT 13,,U.S. House,Democratic,ROB QUIST,102
Broadwater,PRECINCT 7,,U.S. House,Democratic,ROB QUIST,111
Broadwater,PRECINCT 1,,U.S. House,Libertarian,MARK L WICKS,32
Broadwater,PRECINCT 11,,U.S. House,Libertarian,MARK L WICKS,28
Broadwater,PRECINCT 12,,U.S. House,Libertarian,MARK L WICKS,39
Broadwater,PRECINCT 13,,U.S. House,Libertarian,MARK L WICKS,30
Broadwater,PRECINCT 7,,U.S. House,Libertarian,MARK L WICKS,17
Carbon,P 6,,U.S. House,Republican,GREG GIANFORTE,135
Carbon,P 15,,U.S. House,Republican,GREG GIANFORTE,284
Carbon,P 11,,U.S. House,Republican,GREG GIANFORTE,356
Carbon,P 8,,U.S. House,Republican,GREG GIANFORTE,154
Carbon,P 10,,U.S. House,Republican,GREG GIANFORTE,102
Carbon,P 2,,U.S. House,Republican,GREG GIANFORTE,110
Carbon,P 3,,U.S. House,Republican,GREG GIANFORTE,343
Carbon,P 9,,U.S. House,Republican,GREG GIANFORTE,80
Carbon,P 1,,U.S. House,Republican,GREG GIANFORTE,258
Carbon,P 4,,U.S. House,Republican,GREG GIANFORTE,142
Carbon,P 7,,U.S. House,Republican,GREG GIANFORTE,263
Carbon,P 5,,U.S. House,Republican,GREG GIANFORTE,196
Carbon,P 16,,U.S. House,Republican,GREG GIANFORTE,149
Carbon,P 6,,U.S. House,Democratic,ROB QUIST,81
Carbon,P 15,,U.S. House,Democratic,ROB QUIST,121
Carbon,P 11,,U.S. House,Democratic,ROB QUIST,399
Carbon,P 8,,U.S. House,Democratic,ROB QUIST,231
Carbon,P 10,,U.S. House,Democratic,ROB QUIST,249
Carbon,P 2,,U.S. House,Democratic,ROB QUIST,78
Carbon,P 3,,U.S. House,Democratic,ROB QUIST,107
Carbon,P 9,,U.S. House,Democratic,ROB QUIST,231
Carbon,P 1,,U.S. House,Democratic,ROB QUIST,124
Carbon,P 4,,U.S. House,Democratic,ROB QUIST,72
Carbon,P 7,,U.S. House,Democratic,ROB QUIST,124
Carbon,P 5,,U.S. House,Democratic,ROB QUIST,67
Carbon,P 16,,U.S. House,Democratic,ROB QUIST,91
Carbon,P 6,,U.S. House,Libertarian,MARK L WICKS,16
Carbon,P 15,,U.S. House,Libertarian,MARK L WICKS,39
Carbon,P 11,,U.S. House,Libertarian,MARK L WICKS,26
Carbon,P 8,,U.S. House,Libertarian,MARK L WICKS,18
Carbon,P 10,,U.S. House,Libertarian,MARK L WICKS,19
Carbon,P 2,,U.S. House,Libertarian,MARK L WICKS,16
Carbon,P 3,,U.S. House,Libertarian,MARK L WICKS,29
Carbon,P 9,,U.S. House,Libertarian,MARK L WICKS,9
Carbon,P 1,,U.S. House,Libertarian,MARK L WICKS,23
Carbon,P 4,,U.S. House,Libertarian,MARK L WICKS,23
Carbon,P 7,,U.S. House,Libertarian,MARK L WICKS,28
Carbon,P 5,,U.S. House,Libertarian,MARK L WICKS,21
Carbon,P 16,,U.S. House,Libertarian,MARK L WICKS,16
Carter,PRECINCT #3 HAMMOND,,U.S. House,Republican,GREG GIANFORTE,47
Carter,PRECINCT #1 ALZADA,,U.S. House,Republican,GREG GIANFORTE,74
Carter,PRECINCT #13 EKALAKA,,U.S. House,Republican,GREG GIANFORTE,102
Carter,PRECINCT #14 RURAL EKALAKA,,U.S. House,Republican,GREG GIANFORTE,218
Carter,PRECINCT #3 HAMMOND,,U.S. House,Democratic,ROB QUIST,2
Carter,PRECINCT #1 ALZADA,,U.S. House,Democratic,ROB QUIST,4
Carter,PRECINCT #13 EKALAKA,,U.S. House,Democratic,ROB QUIST,29
Carter,PRECINCT #14 RURAL EKALAKA,,U.S. House,Democratic,ROB QUIST,24
Carter,PRECINCT #3 HAMMOND,,U.S. House,Libertarian,MARK L WICKS,2
Carter,PRECINCT #1 ALZADA,,U.S. House,Libertarian,MARK L WICKS,4
Carter,PRECINCT #13 EKALAKA,,U.S. House,Libertarian,MARK L WICKS,12
Carter,PRECINCT #14 RURAL EKALAKA,,U.S. House,Libertarian,MARK L WICKS,5
Cascade,P25,,U.S. House,Republican,GREG GIANFORTE,1226
Cascade,P24,,U.S. House,Republican,GREG GIANFORTE,1378
Cascade,P23,,U.S. House,Republican,GREG GIANFORTE,1154
Cascade,P20A,,U.S. House,Republican,GREG GIANFORTE,2142
Cascade,P20B,,U.S. House,Republican,GREG GIANFORTE,669
Cascade,P26A,,U.S. House,Republican,GREG GIANFORTE,763
Cascade,P26B,,U.S. House,Republican,GREG GIANFORTE,53
Cascade,P21A,,U.S. House,Republican,GREG GIANFORTE,1646
Cascade,P21B,,U.S. House,Republican,GREG GIANFORTE,131
Cascade,P22A,,U.S. House,Republican,GREG GIANFORTE,885
Cascade,P22C,,U.S. House,Republican,GREG GIANFORTE,16
Cascade,P22B.,,U.S. House,Republican,GREG GIANFORTE,437
Cascade,P27,,U.S. House,Republican,GREG GIANFORTE,317
